project_id,год,регион,вуз_код,pat_foreign_2018,pat_foreign_2019,pat_foreign_2020,pat_foreign_2021,pat_foreign_2022,pat_foreign_2023,pat_foreign_2024,pat_foreign_cagr,pat_foreign_query,pat_foreign_total,pat_cagr_rus_18_24,pat_query_ru,pat_rus_2018,pat_rus_2019,pat_rus_2020,pat_rus_2021,pat_rus_2022,pat_rus_2023,pat_rus_2024,pat_rus_total,pub_2018,pub_2019,pub_2020,pub_2021,pub_2022,pub_2023,pub_2024,pub_cagr_18_24,pub_cite_avg,pub_query_en,pub_total,инвестиции,ключевые_слова_nlp,рынок,суть_проекта,справка_команда
P072,2024,Севастополь,U076,7,4,4,2,0,1,3,-1317,"nanofilled prepreg composite, hybrid nanocomposite material, carbon fiber nano-reinforced",21,0.0,нанонаполненный препрег композит,0,0,0,0,0,0,0,0,1,3,2,0,3,4,4,0.2599,32.96,nanofilled prepreg composite hybrid nanocomposite material,17,,"нанонаполненный препрег композит, гибридный нанокомпозит, nanofilled prepreg composite, hybrid nanocomposite material, carbon","Рыночный контекст (сектор «Новые материалы/химия», данные на момент подачи, 2024): выручка химической отрасли РФ ≈ 3,2 трлн руб. (2020); устойчивый рост химпрома: ≈ 136% к уровню 2015 года (2021); рост химкомплекса +12,9% в деньгах (2022); курс на импортозамещение малотоннажной химии; объём химкомплекса РФ ≈ 7,9 трлн руб. (2023).",Конечным продуктом реализации идеи будет нанонаполненый,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P073,2024,Москва,U122,76,84,107,154,187,236,293,2522,"lithium battery recycling, valuable metals recovery, radiochemistry MSU",1137,0.0,переработка литиевых аккумуляторов,0,0,0,0,0,0,1,1,213,273,404,519,690,1333,1613,0.4013,1380.04,lithium battery recycling valuable metals recovery,5045,Грант ФСИ «УМНИК» (2021) — 500 тыс ₽.,"переработка литиевых аккумуляторов, извлечение ценных металлов рециклинг, lithium battery recycling, valuable metals recovery, radiochemistry MSU","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2024): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК; инвестиции в нефтедобычу РФ +17,7% до ≈ 1,8 трлн руб. (2022); добыча +2%; инвестиции в ТЭК ≈ 10 трлн руб./год — ≈ 30% всех капвложений РФ (2023).",[ПРОЕКТ] (кафедра радиохимии МГУ).,Основатель (данные на момент подачи): образование/статус: студент химического факультета МГУ им. М.В. Ломоносова (специальность: фундаментальная и прикладная химия); исследователь в области химической переработки литиевых аккумуляторов с извлечением ценных металлов; есть компетенции в химии материалов и рециклинге.
P074,2022,Башкортостан Респ,U009,0,0,0,0,0,0,0,0,"weekend tours booking platform, regional tourism travel-tech, domestic travel marketplace",0,0.0,туры выходного дня,0,0,0,0,0,0,1,1,3,11,7,9,5,6,16,0.3218,11.96,weekend tours booking platform regional tourism travel-tech,57,"Грант ФСИ «Студенческий стартап» — 1 млн ₽ (очередь II, 2022).","туры выходного дня платформа, внутренний туризм Башкортостан, weekend tours booking platform, regional tourism travel-tech, domestic travel marketplace","Рыночный контекст (сектор «Туризм/спорт/креатив», данные на момент подачи, 2022): внутренний турпоток РФ 66,5 млн поездок (2021, +40%).",Интернет-платформа для подбора и бронирования туров выходного дня по Башкортостану.,"Основатель (данные на момент подачи): образование/статус: магистрантка Института исторического, правового и социально-гуманитарного образования БГПУ имени М. Акмуллы; генеральный директор туристической компании; разработчик интернет-платформы туров выходного дня Башкортостана; есть компетенции в туризме и региональных туристических продуктах."
P075,2025,Санкт-Петербург,U047,0,0,0,0,0,0,0,0,"video search transcription AI, automated video timestamping, video content intelligence",0,0.0,поиск внутри видео,1,5,2,0,1,0,0,9,7,14,20,18,34,72,95,0.5444,74.04,video search transcription AI automated video timestamping,260,,"поиск внутри видео транскрипция, тайм-коды субтитры ИИ, video search transcription AI, automated video timestamping, video","Рыночный контекст (сектор «AI/аналитика данных», данные на момент подачи, 2025): рост рынка ИИ РФ +22,4% (2020); +28% (2021) — максимальные темпы за 5 лет; запуск федпроекта «Искусственный интеллект»; объём рынка ИИ РФ ≈ 647 млрд руб. (2022, МФТИ); ≈ 650 млрд руб. (2023, +18%, АНО «Цифровая экономика»).","Сервис мгновенного поиска внутри видео с автоматическим получением тайм-кодов, конспектов и тестов по видео.","Основатель (данные на момент подачи): образование/статус: выпускница НИУ ВШЭ в Санкт-Петербурге; генеральный директор сервиса [ПРОЕКТ] — ИИ-инструмента для автоматического поиска по видеоматериалам, формирования таймкодов и конспектов; есть компетенции в образовательных технологиях и ИИ-инструментах для работы с видеоконтентом."
P076,2023,Краснодарский край,U111,0,0,0,0,0,0,0,0,"custom embroidery clothing, small batch embroidery, personalized garment decoration",0,0.0,авторская вышивка на,0,0,0,0,0,0,0,0,15,12,12,8,14,30,26,0.096,55.72,custom embroidery clothing small batch embroidery,117,Ежемесячно мы создаем 50-80 единиц продукции (без,"авторская вышивка на одежде, мелкосерийная вышивка B2B, custom embroidery clothing, small batch embroidery","Рыночный контекст (сектор «Туризм/спорт/креатив», данные на момент подачи, 2023): внутренний турпоток РФ 66,5 млн поездок (2021, +40%); 73,1 млн поездок (2022, +10%); господдержка отрасли.","Идея, которую мы реализовали, пользуется большим спросом: сейчас россияне нуждаются в вещах высокого качества по доступной",Основатель (данные на момент подачи): образование/статус: студент факультета архитектуры и дизайна Кубанского государственного университета (направление «Дизайн»); разработчик коллекции авторской вышивки на одежде; есть компетенции в дизайне и прикладных видах текстильного искусства.
P077,2022,Москва г,U041,0,6,3,5,4,2,0,0,"digital PhD management, graduate school software, education management platform",20,0.0,цифровая аспирантура веб-сервис,0,0,0,0,0,0,0,0,1569,1575,1904,1859,2005,2647,2984,0.1131,4000.8,digital PhD management graduate school software,14543,Грант ФСИ «Студенческий стартап» — 1 млн ₽ (2022).,"цифровая аспирантура веб-сервис, цифровизация высшего образования, digital PhD management, graduate school software, education management platform","Рыночный контекст (сектор «EdTech», данные на момент подачи, 2022): рынок EdTech РФ ≈ 35 млрд руб. (2019); быстрый рост онлайн-образования в пандемию (2020–2021), двузначные темпы топ-100 компаний.","«[ПРОЕКТ]» — веб-сервис для цифровизации и сопровождения процессов подготовки аспирантов (управление, отчётность, коммуникация).","Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P078,2024,Санкт-Петербург,U074,27,15,10,23,9,16,17,-742,"smart wardrobe, fashion IoT, clothing management device",117,0.0,умный гардероб,0,0,0,0,0,0,0,0,11,12,6,11,14,14,34,0.2069,240.4,smart wardrobe fashion IoT,102,Грант ФСИ «Студенческий стартап» (2023) — 1 млн ₽.,"умный гардероб, IoT мода устройство, smart wardrobe, fashion IoT, clothing management device","Рыночный контекст (сектор «Сенсоры/электроника/приборы», данные на момент подачи, 2024): расширение господдержки радиоэлектроники и ЭКБ (2020–2021); мировой дефицит полупроводников; уход зарубежных поставщиков ЭКБ (2022) — резкий рост спроса на отечественную электронику и датчики; рост госзаказа и инвестиций в микроэлектронику (2023), приоритет технологического суверенитета.",[ПРОЕКТ] — устройство/сервис умного управления гардеробом (ЛЭТИ).,Основатель (данные на момент подачи): образование/статус: выпускница СПбГЭТУ «ЛЭТИ»; инженер кафедры ИЗОС СПбГЭТУ; руководитель/учредитель зарегистрированной организации; есть компетенции в робототехнике и встраиваемых системах.
P079,2023,Калининградская область,U055,0,0,0,0,0,0,0,0,"portable NIR grain analyzer, near-infrared feed quality, spectroscopy agricultural product",0,0.0,портативный NIR-анализатор зерна,0,0,0,0,0,0,0,0,11,12,19,17,35,39,42,0.2502,223.32,portable NIR grain analyzer near-infrared feed quality,175,Точка безубыточности — 6-ой месяц после старта,"портативный NIR-анализатор зерна, спектроскопия качества кормов, portable NIR grain analyzer, near-infrared feed quality, spectroscopy","Рыночный контекст (сектор «AgroTech», данные на момент подачи, 2023): ИИ внедряли 11,9% компаний АПК (начало 2022) при средних по экономике 20,8% — низкая база цифровизации; Минсельхоз прогнозирует пятикратный рост рынка агротехнологий к 2026 году.","Прибор будет превосходить аналоги по универсальности и точности измерений, сохраняя при этом относительно невысокую","Основатель (данные на момент подачи): образование/статус: молодой учёный Балтийского федерального университета им. И. Канта; разработчик портативного анализатора качества зерновых культур, кормов и молочной продукции «Агроскан» на основе ближнего ИК-спектрального анализа; директор ООО [КОМПАНИЯ]; есть компетенции в спектральном анализе и агроинженерии."
P080,2024,Республика Татарстан,U105,1186,682,490,353,351,251,329,-1924,"solar collectors, solar thermal energy, cleantech",3642,0.0,производство солнечных коллекторов,1,0,0,3,3,0,1,8,3690,4295,4905,5563,5663,8278,7771,0.1322,2940.76,solar collectors solar thermal energy,40165,,"производство солнечных коллекторов, солнечная энергетика КАИ, solar collectors, solar thermal energy, cleantech","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2024): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК; инвестиции в нефтедобычу РФ +17,7% до ≈ 1,8 трлн руб. (2022); добыча +2%; инвестиции в ТЭК ≈ 10 трлн руб./год — ≈ 30% всех капвложений РФ (2023).",[ПРОЕКТ] (КНИТУ-КАИ им. Туполева).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P081,2025,Новосибирская область,U127,0,0,0,0,0,1,0,0,"Motus project, NSTU startup, tech project",1,0.0,Motus проект НГТУ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Motus project NSTU startup,0,,"[ПРОЕКТ] проект НГТУ, новосибирский студенческий стартап, [ПРОЕКТ] project, NSTU startup, tech project",,[ПРОЕКТ] — проект основателя из НГТУ (Новосибирск); детали уточняются.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P082,2025,Республика Татарстан,U106,418,454,444,370,341,360,395,-94,"polymer flooding EOR, enhanced oil recovery, oilfield chemistry",2782,0.0,полимерный реагент нефтеотдача,0,2,0,0,0,0,0,2,423,485,461,480,509,699,678,0.0818,546.32,polymer flooding EOR enhanced oil recovery,3735,,"полимерный реагент нефтеотдача, увеличение нефтеотдачи пласта КНИТУ, polymer flooding EOR, enhanced oil recovery, oilfield chemistry","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2025): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК; инвестиции в нефтедобычу РФ +17,7% до ≈ 1,8 трлн руб. (2022); добыча +2%; инвестиции в ТЭК ≈ 10 трлн руб./год — ≈ 30% всех капвложений РФ (2023); рынок нефтесервисных услуг ≈ 2,3 трлн руб. (2024, Kasatkin Consulting).","[ПРОЕКТ] (КНИТУ, Казань).","Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P083,2022,Ставропольский край,U038,0,0,0,0,1,0,0,0,"educational construction kit, learning game toy, STEM education kit",1,0.0,учебно-игровой конструктор,0,0,0,0,0,0,0,0,108,104,154,125,106,148,268,0.1636,331.76,educational construction kit learning game toy,1013,Грант ФСИ «Студенческий стартап» — 1 млн ₽ (2022).,"учебно-игровой конструктор, образовательный набор дети, educational construction kit, learning game toy, STEM education kit","Рыночный контекст (сектор «EdTech», данные на момент подачи, 2022): рынок EdTech РФ ≈ 35 млрд руб. (2019); быстрый рост онлайн-образования в пандемию (2020–2021), двузначные темпы топ-100 компаний.",«[ПРОЕКТ]» — учебно-игровой конструктор (образовательный набор) для вовлекающего обучения.,Основатель (данные на момент подачи): образование/статус: студент кафедры дизайна инженерного факультета Пятигорского института (филиал) СКФУ; участник молодёжного инновационного центра «HI-Tech Импульс»; разработчик учебно-игрового конструктора «[ПРОЕКТ]»; есть компетенции в промышленном дизайне и образовательных технологиях.
P084,2025,Республика Татарстан,U019,6,6,7,6,3,0,4,-653,"Tatar cultural heritage, ethno tourism, creative industries",32,0.0,культурный код татарские,0,0,0,0,0,0,0,0,15,90,21,37,63,39,181,0.5145,36.72,Tatar cultural heritage ethno tourism,446,,"культурный код татарские деревни, этнотуризм наследие, Tatar cultural heritage, ethno tourism, creative industries","Рыночный контекст (сектор «Туризм/спорт/креатив», данные на момент подачи, 2025): внутренний турпоток РФ 66,5 млн поездок (2021, +40%); 73,1 млн поездок (2022, +10%); господдержка отрасли; 83,6 млн поездок (2023, +14%) — исторический рекорд; ≈ 90 млн поездок (2024); оборот внутреннего туризма ≈ 917 млрд руб..",«[ПРОЕКТ]» — культурно-просветительский/туристический проект (Казанский кооперативный институт).,Основатель (данные на момент подачи): образование/статус: аспирант Казанского кооперативного института Российского университета кооперации; исследователь культурных кодов татарских деревень; есть компетенции в культурологии и сохранении этнокультурного наследия.
P085,2022,Москва г,U121,784,659,786,903,742,634,637,-340,"biofilter air purification, phytoremediation, indoor air quality",5145,-0.0299,биологическая очистка воздуха,6,18,6,9,16,12,5,72,26,26,35,42,168,78,68,0.1738,287.04,biofilter air purification indoor air quality,443,,"фитофильтрация, биологическая очистка воздуха, biofilter air purification","Рыночный контекст (сектор «AgroTech», данные на момент подачи, 2022): ИИ внедряли 11,9% компаний АПК (начало 2022) при средних по экономике 20,8% — низкая база цифровизации.",Очиститель воздуха с биофильтрами для жилых помещений на основе фитофильтрации.,Основатель (данные на момент подачи): образование/статус: аспирантка факультета почвоведения МГУ им. М.В. Ломоносова; есть компетенции в экологии и биосорбентах; разработала биосорбент для очистки воздуха; публикации и доклады на конференциях МГУ.
P086,2024,Москва,U064,38,57,80,83,144,135,169,2824,"Blago project HSE, social impact startup, digital service",706,0.0,Благо проект ВШЭ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,Blago project HSE social impact startup,1,,"[ПРОЕКТ] проект ВШЭ, социальный стартап, Blago project HSE, social impact startup, digital service","Рыночный контекст (сектор «IT-сервисы/платформы», данные на момент подачи, 2024): объём ИТ-рынка РФ ≈ 1,8 трлн руб. (2020); рост до ≈ 2,2 трлн руб. (2021); спад до ≈ 1,9 трлн руб. на фоне ухода зарубежных вендоров; тиражное ПО ≈ 287 млрд руб. (2022); восстановление ИТ-рынка ≈ +12% (2023), драйвер — импортозамещение ПО.",[ПРОЕКТ] — проект основателя из НИУ ВШЭ; детали уточняются.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P087,2025,Москва,U059,0,0,0,0,0,0,0,0,"hydroponic potted greens storage, ozonation deodorization plant, smart herb cultivation",0,0.0,гидропоника хранение зелени,0,0,0,0,0,0,0,0,2,7,8,5,7,14,13,0.3661,208.64,hydroponic herb cultivation ozone freshness extension,56,Компания работает по модели аренды и продает две,"гидропоника хранение зелени в горшочках, озонирование дезодорирование, hydroponic potted greens storage, ozonation deodorization plant, smart","Рыночный контекст (сектор «AgroTech», данные на момент подачи, 2025): ИИ внедряли 11,9% компаний АПК (начало 2022) при средних по экономике 20,8% — низкая база цифровизации; Минсельхоз прогнозирует пятикратный рост рынка агротехнологий к 2026 году; продукция АПК РФ ≈ 8,5 трлн руб. (2023); ≈ 8,9 трлн руб. (2024) при спаде физического объёма −3,2%.",Гидропонное оборудование для выращивания и хранения салатов в горшочках и микрозелени для розничной,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P088,2022,Ростовская обл,U015,0,0,0,4,7,5,3,2009,"ambulance disinfection system, vehicle sanitization, medical transport disinfection",19,0.0,дезинфекция салона скорой,0,0,0,0,0,0,0,0,3,2,34,47,30,21,15,0.3077,79.56,ambulance disinfection system vehicle sanitization,152,Грант ФСИ «Студенческий стартап» — 1 млн ₽ (2022).,"дезинфекция салона скорой помощи, санитарная обработка автомобилей, ambulance disinfection system, vehicle sanitization, medical transport disinfection","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2022): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%).",САД-ЧТ5 — система быстрой дезинфекции салонов автомобилей скорой медицинской помощи.,Основатель (данные на момент подачи): образование/статус: магистрант ПИШ Донского государственного технического университета; участник разработки программно-аппаратных комплексов на базе компьютерного зрения; есть компетенции в машинном зрении и технологиях цифровой автоматизации.
P089,2024,Томская область,U062,4,6,0,13,7,9,9,1447,"pumpkin chips healthy snack, functional food production, vegetable crisps manufacturing",48,0.0,тыквенные чипсы здоровое,0,0,0,0,0,0,0,0,15,10,18,34,23,48,80,0.3218,154.52,pumpkin chips healthy snack functional food production,228,,"тыквенные чипсы здоровое питание, функциональные снеки, pumpkin chips healthy snack, functional food production","Рыночный контекст (сектор «Цифровое здоровье/wellness», данные на момент подачи, 2024): рынок телемедицинских консультаций РФ ≈ 5,6 млрд руб. (2020, BusinesStat); ≈ 6,7 млрд руб. (2021); ≈ 7,9 млрд руб. (2022); ≈ 11,7 млрд руб. (2023, +48%); телемедицина — крупнейший сегмент медтеха (≈31%).","Производство тыквенных чипсов «[ПРОЕКТ]», приготовленных при помощи","Основатель (данные на момент подачи): образование/статус: студент ТПУ (Бакалавриат, Бизнес-школа); разработчик тыквенных чипсов «[ПРОЕКТ]» (технология вакуумной варки и сушки); руководитель зарегистрированных организаций; есть компетенции в пищевых технологиях и предпринимательстве."
P090,2024,Приморский край,U091,39,32,61,35,47,44,49,388,"legal clinic, legal services, legaltech",307,0.0,юридическая клиника,0,0,0,0,0,0,0,0,10072,11591,13725,13988,14444,20918,23203,0.1492,6893.52,legal clinic legal services,107941,,"юридическая клиника, правовые услуги студенты, legal clinic, legal services, legaltech","Рыночный контекст (сектор «EdTech», данные на момент подачи, 2024): рынок EdTech РФ ≈ 35 млрд руб. (2019); быстрый рост онлайн-образования в пандемию (2020–2021), двузначные темпы топ-100 компаний; ≈ 88 млрд руб. (2022, BusinesStat); ≈ 118 млрд руб. (2023, +34%); утроение рынка за 4 года.",[ПРОЕКТ] — проект основателя из Владивостокского ГУ (юридические услуги/LegalTech).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P091,2025,Ивановская область,U098,667,985,1337,1945,2334,2975,3400,3119,"digital twin chemical process, industry 4.0 simulation, process modeling",13643,0.0,цифровые двойники химпроизводство,0,0,0,0,0,0,0,0,90,146,327,414,640,1110,1388,0.5777,802.8,digital twin chemical process industry 4.0 simulation,4115,,"цифровые двойники химпроизводство, моделирование техпроцессы ИГХТУ, digital twin chemical process, industry 4.0 simulation, process modeling","Рыночный контекст (сектор «Новые материалы/химия», данные на момент подачи, 2025): выручка химической отрасли РФ ≈ 3,2 трлн руб. (2020); устойчивый рост химпрома: ≈ 136% к уровню 2015 года (2021); рост химкомплекса +12,9% в деньгах (2022); курс на импортозамещение малотоннажной химии; объём химкомплекса РФ ≈ 7,9 трлн руб. (2023).",[ПРОЕКТ] (Ивановский химико-технологический университет).,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P092,2023,Москва,U136,0,0,0,0,0,0,1,0,"phytoremediation technogenic landscape, constructed wetland biomass, bioplateau vegetation",1,0.0,фитоценоз техногенный ландшафт,0,0,0,0,0,0,0,0,1,0,0,3,3,7,6,0.348,12.88,phytoremediation technogenic landscape constructed wetland biomass,20,При создании биоплато применяются удобрения российских,"фитоценоз техногенный ландшафт, биоплато рогоз, phytoremediation technogenic landscape, constructed wetland","Рыночный контекст (сектор «AgroTech», данные на момент подачи, 2023): ИИ внедряли 11,9% компаний АПК (начало 2022) при средних по экономике 20,8% — низкая база цифровизации; Минсельхоз прогнозирует пятикратный рост рынка агротехнологий к 2026 году.","На дно биоплато высаживается рогоз узколистный, для этого используется торфогрунт со щепой. На склонах выращиваются сеяные и рулонные газоны.","Основатель (данные на момент подачи): образование/статус: ассистент кафедры экологии РГАУ-МСХА им. К.А. Тимирязева, магистр направления «Экология и природопользование»; автор свыше 10 научных работ; разработчик технологии создания защитных фитоценозов для техногенных ландшафтов «Грозон»; есть компетенции в сельскохозяйственной экологии и фитомелиорации."
P093,2024,Ростовская область,U143,0,1,1,1,0,0,0,0,"forest analysis satellite GIS, intelligent land monitoring, remote sensing forestry",3,0.0,анализ лесных массивов,0,0,0,0,1,0,0,1,195,269,330,422,578,861,922,0.2955,835.4,forest analysis satellite GIS intelligent land monitoring,3577,,"анализ лесных массивов спутник ГИС, интеллектуальный мониторинг территорий, forest analysis satellite GIS, intelligent land monitoring, remote","Рыночный контекст (сектор «AI/аналитика данных», данные на момент подачи, 2024): рост рынка ИИ РФ +22,4% (2020); +28% (2021) — максимальные темпы за 5 лет; запуск федпроекта «Искусственный интеллект»; объём рынка ИИ РФ ≈ 647 млрд руб. (2022, МФТИ); ≈ 650 млрд руб. (2023, +18%, АНО «Цифровая экономика»).",Мы решаем проблему анализа лесных массивов лучше,Основатель (данные на момент подачи): образование/статус: студент/выпускник Ростовского государственного экономического университета (РИНХ); учредитель ООО [КОМПАНИЯ]; разработчик сервиса [ПРОЕКТ] для интеллектуального анализа лесов и территорий; есть компетенции в геоинформационных технологиях и анализе данных дистанционного зондирования.
P094,2022,Санкт-Петербург г,U075,4757,8232,6277,6439,6938,7426,8061,919,"automated storage retrieval, warehouse robot, AS/RS",48130,0.0,роботизированный склад,0,0,0,1,0,1,0,2,104,162,233,239,340,449,542,0.3167,1358.2,automated storage retrieval warehouse robot,2069,,"роботизированный склад, автоматизированная стеллажная система, automated storage retrieval","Рыночный контекст (сектор «Робототехника/автоматизация», данные на момент подачи, 2022): выручка робототехнических компаний РФ (опрос НАУРР) ≈ 17,6 млрд руб. (2021); плотность роботизации кратно ниже мировой.",Роботизированная модульная стеллажная система для автоматизированного хранения и,"Основатель (данные на момент подачи): образование/статус: доцент, кандидат технических наук Санкт-Петербургского политехнического университета Петра Великого; разработчик роботизированной модульной стеллажной системы [ПРОЕКТ]; есть компетенции в робототехнике и автоматизированных складских системах."
P095,2022,Москва г,U037,36,35,33,34,48,54,27,-468,"intraoral biosensor GERD, reflux monitoring wearable, medical diagnostic device",267,0.0,биосенсор каппа ГЭРБ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,29.0,intraoral biosensor GERD reflux monitoring wearable,1,"Грант ФСИ «Студенческий стартап» — 1 млн ₽ (очередь II, 2022).","биосенсор каппа ГЭРБ мониторинг, интраоральный медицинский сенсор, intraoral biosensor GERD, reflux monitoring wearable, medical diagnostic device","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2022): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%).",Внутриротовой биосенсор-каппа для непрерывного мониторинга гастроэзофагеальной рефлюксной болезни (ГЭРБ).,Основатель (данные на момент подачи): образование/статус: ординатор Института стоматологии имени Е.В. Боровского Первого МГМУ им. И.М. Сеченова; основатель стартапа OralSensor (OralBioscanner) — биосенсорная каппа-капсула; есть компетенции в стоматологии и биосенсорных технологиях.
P096,2023,Москва,U059,0,0,0,0,0,1,0,0,"adolescent psychodiagnostics platform, automated psychological testing, school mental health screening",1,0.0,психодиагностика подростков платформа,0,0,0,0,0,0,0,0,5,2,3,5,8,92,289,0.9663,12.12,adolescent psychodiagnostics platform automated psychological testing,404,"Предполагается, что срок возврата инвестиций 10х составит","психодиагностика подростков платформа, автоматизация тестирования школы, adolescent psychodiagnostics platform, automated psychological testing, school mental health","Рыночный контекст (сектор «MedTech: приборы/диагностика», данные на момент подачи, 2023): рынок медизделий РФ ≈ 497 млрд руб. (2020, Госкомстат), скачок на фоне пандемии; ≈ 559 млрд руб. (2021, +12%); ≈ 593 млрд руб. (2022, +6%); курс на импортозамещение медтехники.","Продукт предназначен для внедрения в общеобразовательные учреждения, социально-реабилитационные центры, СУВУ и в учреждения СПО.","Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P097,2024,Санкт-Петербург,U066,0,0,0,0,0,1,0,0,"Dilophosaurus project, ITMO startup, tech project",1,0.0,Дилофозавр проект ИТМО,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,Dilophosaurus project ITMO startup,0,,"[ПРОЕКТ] проект ИТМО, студенческий стартап, Dilophosaurus project, ITMO startup, tech project",,[ПРОЕКТ] — проект основателя из ИТМО; детали уточняются.,"Поиск сведений об основателе проведён по открытым источникам (вузы, публикации, патентные базы, реестры юрлиц, СМИ) за период до даты подачи заявки. Сопоставимых сведений по указанному ФИО не обнаружено. Отсутствие результата отражает предел поиска по открытым источникам, а не отрицательный сигнал о команде."
P098,2024,Ульяновская область,U163,17,12,9,12,14,8,6,-1593,"resistive RAM RRAM, optical readout non-volatile memory, memristive semiconductor storage",78,0.0,резистивная память RRAM,0,0,0,0,0,0,0,0,5,9,35,20,19,29,30,0.348,159.76,resistive RAM RRAM optical readout non-volatile memory,147,Выход на рынок планируется после завершения,"резистивная память RRAM, оптическое считывание полупроводник, resistive RAM RRAM, optical readout non-volatile memory, memristive","Рыночный контекст (сектор «Энергетика/нефтегаз», данные на момент подачи, 2024): нефтегазовый сектор ≈ 21,7% ВВП РФ (начало 2022); нефтесервис — крупный сегмент ТЭК; инвестиции в нефтедобычу РФ +17,7% до ≈ 1,8 трлн руб. (2022); добыча +2%; инвестиции в ТЭК ≈ 10 трлн руб./год — ≈ 30% всех капвложений РФ (2023).",Основная цель проекта — разработка высокотехнологичного вида,"Основатель (данные на момент подачи): образование/статус: аспирантка, стажёр-исследователь Ульяновского государственного университета; обладательница стипендии Президента РФ; есть компетенции в физике полупроводниковых материалов и технологии памяти."
